row_ids,truth,response
1,4,3.9989413697737266
2,0,0.1319544774598389
3,2,2.071456891367301
4,1,1.0841322624348768
5,4,4.074204952492172
6,2,2.1325872729837796
7,4,4.189955884331184
8,0,0.16722148344760268
9,2,2.175442196576269
10,4,4.060968469111296
11,2,2.0606058977774264
12,0,0.1702561086510962
13,0,0.17258596319875208
14,3,2.9990537822194607
15,0,-0.05499771740574766
16,9,8.943255473598475
17,8,7.706268719619581
18,12,11.891468605474143
19,12,11.982821015177283
20,8,7.902436581431829
21,12,11.90173102559614
22,12,11.751491552513869
23,8,7.996473586282288
24,12,11.924507367356824
25,8,8.024281307570758
26,12,11.98895640887524
27,12,11.890881782731482
28,8,7.907562486515626
29,8,8.217497019851919
30,8,8.079485478548147
31,8,8.04950666545728
32,8,8.288762555669539
33,8,8.041044839820511
34,12,11.980593809815467
35,12,11.786320525221525
36,8,7.948622360619874
37,9,8.988273408017239
38,12,11.769849450753751
39,8,7.951625462011847
40,12,12.02527970166874
41,12,11.89023767634217
42,12,11.778517395317603
43,12,11.990969320865673
44,8,7.9263894023368024
45,9,9.139905033433905
46,8,8.012741992430266
47,12,12.037370291760292
48,9,9.10004372237443
49,9,9.092427359326377
50,12,12.033987575144062
51,9,9.07916994629039
52,12,11.860200005633411
53,9,8.833109256861547
54,12,11.887676903362173
55,12,11.963887633902454
